,EMP_ID,EMPName,certificate_name,certificate_status,skill_table,skill_proficiency,tech_stack
0,EMP_1,Sosanna Turford,"Adaptability,Technical Proficiency (specific to the employee's field),Kotlin,Adaptability,Adobe XD,dwq,Java,Swift,Node.js","Rejected,Rejected,Rejected,Approved,Rejected,Rejected,Approved,Approved,Approved","Adaptability,Technical Proficiency (specific to the employee's field),Kotlin,Adaptability,Adobe XD,dwq,Java,Swift,Node.js","Intermediate,Intermediate,Beginner,Beginner,Advanced,Beginner,Intermediate,Beginner,Beginner","Vue.js,Cybersecurity,Problem Solving,MySQL,Docker,Ruby,NoSQL,Objective-C,Kotlin,Agile Product Management,CSS,Angular"
1,EMP_2,Kitty Jullian,"Time Management,Networking Abilities,Leadership Abilities,Oracle,Project Management Skills","Approved,Rejected,Rejected,Rejected,Rejected","Time Management,Networking Abilities,Leadership Abilities,Oracle,Project Management Skills","Advanced,Advanced,Beginner,Beginner,Intermediate","Artificial Intelligence,Kubernetes,SQL,Azure,Test-Driven Development,PostgreSQL,PHP,Information Security,Penetration Testing,Collaboration,Behavior-Driven Development,Responsive Design"
2,EMP_3,Margaux Aveyard,"Hibernate,Ethereum),Oracle,Research Skills,Leadership Abilities","Approved,Approved,Rejected,Rejected,Rejected","Hibernate,Ethereum),Oracle,Research Skills,Leadership Abilities","Advanced,Advanced,Advanced,Intermediate,Advanced","NoSQL,JavaScript,Collaboration,Microservices,Java,Network Security,Flask,Wireframing,Information Security,Communication,Requirements Analysis,NoSQL"
3,EMP_4,Jamaal Worral,"HTML/CSS,Docker,Android Studio,JavaScript","Rejected,Approved,Rejected,Rejected","HTML/CSS,Docker,Android Studio,JavaScript","Intermediate,Advanced,Beginner,Beginner","Swift,Scrum,Leadership,Machine Learning,Scrum,Containerization,Objective-C,Angular,HTML,PostgreSQL,Behavior-Driven Development,Requirements Analysis"
4,EMP_5,Tallie Takis,"Natural Language Processing (NLP),Adobe XD,Selenium,Selenium","Approved,Rejected,Approved,Rejected","Natural Language Processing (NLP),Adobe XD,Selenium,Selenium","Intermediate,Advanced,Beginner,Intermediate","SQL,Product Management,C#,Technical Writing,Data Science,Network Security,MySQL,Product Management,Django,Data Science,Continuous Integration,Microservices"
5,EMP_6,Rubie Aymes,"Figma,HTML/CSS,Git,Spark),Xcode","Rejected,Approved,Rejected,Rejected,Rejected","Figma,HTML/CSS,Git,Spark),Xcode","Beginner,Advanced,Advanced,Intermediate,Beginner","Communication,CSS,Flask,Kotlin,Statistical Analysis,CI/CD,Troubleshooting,Docker,DevOps,PostgreSQL,Artificial Intelligence,Agile Product Management"
6,EMP_7,Ernst Beazer,"Adobe XD,Python,Spark),Jenkins,AWS","Approved,Rejected,Rejected,Rejected,Approved","Adobe XD,Python,Spark),Jenkins,AWS","Advanced,Advanced,Beginner,Advanced,Advanced","Business Analysis,Penetration Testing,Google Cloud Platform,DevOps,Statistical Analysis,Swift,Interaction Design,User Research,Requirements Analysis,Azure,Angular,Continuous Deployment"
7,EMP_8,Lethia Minnis,"Java,Angular,MySQL,Git,Xcode","Rejected,Rejected,Approved,Rejected,Rejected","Java,Angular,MySQL,Git,Xcode","Advanced,Beginner,Intermediate,Advanced,Advanced","Containerization,MySQL,Interaction Design,Responsive Design,Product Management,Wireframing,Git,Agile Product Management,AWS,Interaction Design,GraphQL,Data Visualization"
8,EMP_9,Lin Cottem,"TensorFlow,HTML/CSS,Android Studio,Leadership Abilities,Time Management","Approved,Approved,Rejected,Rejected,Approved","TensorFlow,HTML/CSS,Android Studio,Leadership Abilities,Time Management","Beginner,Advanced,Advanced,Advanced,Advanced","Kotlin,Leadership,PHP,HTML,Cybersecurity,Ruby,Requirements Analysis,User Stories,Data Visualization,DevOps,Angular,Agile Methodologies"
9,EMP_10,Bentley Patters,"Time Management,Django,Project Management Skills,Swift","Approved,Rejected,Approved,Approved","Time Management,Django,Project Management Skills,Swift","Advanced,Beginner,Beginner,Intermediate","Responsive Design,Machine Learning,Ruby,Troubleshooting,Continuous Deployment,Behavior-Driven Development,User Stories,Angular,Kotlin,Accessibility,Business Analysis,MySQL"
10,EMP_11,Lucy Fley,"Django,Hibernate,Kubernetes,Express.js","Approved,Approved,Rejected,Approved","Django,Hibernate,Kubernetes,Express.js","Beginner,Intermediate,Beginner,Beginner","GraphQL,Cryptography,Ruby,Test-Driven Development,Azure,GraphQL,Agile Product Management,Continuous Deployment,Responsive Design,Vue.js,User Research,JavaScript"
11,EMP_12,Bobette Drakers,"SQL,Leadership Abilities,PyTorch,Jenkins,Firebase","Rejected,Rejected,Approved,Approved,Rejected","SQL,Leadership Abilities,PyTorch,Jenkins,Firebase","Intermediate,Intermediate,Advanced,Intermediate,Beginner","Information Security,.NET,PostgreSQL,Cryptography,Technical Writing,Responsive Design,Data Visualization,Wireframing,Machine Learning,Ruby,GraphQL,Kotlin"
12,EMP_13,Rora McPartlin,"Firebase,Firebase,Decision-Making Skills,Decision-Making Skills,Raspberry Pi","Approved,Rejected,Approved,Rejected,Rejected","Firebase,Firebase,Decision-Making Skills,Decision-Making Skills,Raspberry Pi","Advanced,Intermediate,Intermediate,Intermediate,Intermediate","HTML,Product Management,Data Science,PostgreSQL,Leadership,Python,Django,PHP,CSS,Git,HTML,Cryptography"
13,EMP_14,Josefina Neilan,"PostgreSQL,Analytical Skills,Kotlin,Hibernate,Leadership Abilities","Approved,Approved,Rejected,Rejected,Approved","PostgreSQL,Analytical Skills,Kotlin,Hibernate,Leadership Abilities","Beginner,Beginner,Intermediate,Beginner,Beginner","Troubleshooting,User Research,Vue.js,SQL,Artificial Intelligence,User Stories,React,HTML,Continuous Deployment,Git,Machine Learning,CI/CD"
